Disease,Diet
Fungal infection,Probiotics
Fungal infection,Garlic
Fungal infection,Coconut Oil
Fungal infection,Leafy Greens
Fungal infection,Turmeric
Allergy,Honey
Allergy,Omega-3-rich foods
Allergy,Vitamin C-rich foods
Allergy,Herbal Teas
Allergy,Avoid Processed Foods
GERD,"Low-Fat, Lean Proteins"
GERD,Oatmeal
GERD,Bananas and Melons
GERD,Green Vegetables
GERD,Aloe Vera
Chronic cholestasis,Low-Fat Diet
Chronic cholestasis,High-Fiber Diet
Chronic cholestasis,Lean proteins
Chronic cholestasis,Whole grains
Chronic cholestasis,Fresh fruits and vegetables
Drug Reaction,Hydration
Drug Reaction,Anti-inflammatory Foods
Drug Reaction,Lean Proteins
Drug Reaction,Antioxidant-Rich Foods
Drug Reaction,Yogurt
Peptic ulcer disease,Low-Acid Diet
Peptic ulcer disease,Fiber-rich foods
Peptic ulcer disease,Ginger
Peptic ulcer disease,Cabbage
Peptic ulcer disease,Aloe vera juice
AIDS,Hydration
AIDS,Protein-rich foods
AIDS,Fruits and vegetables
AIDS,Whole grains
AIDS,Healthy fats
Diabetes,Cinnamon
Diabetes,Fiber-rich foods
Diabetes,Lean proteins
Diabetes,Healthy fats
Diabetes,Low-fat dairy
Gastroenteritis,Coconut Water
Gastroenteritis,Bananas
Gastroenteritis,Rice
Gastroenteritis,Ginger Tea
Gastroenteritis,Toast
Bronchial Asthma,Garlic and Onion
Bronchial Asthma,Fruits and vegetables
Bronchial Asthma,"Omega-3-rich foods (Fatty fish, walnuts, and flax seeds )"
Bronchial Asthma,Whole grains
Bronchial Asthma,Lean proteins
Hypertension,Berries
Hypertension,"Low-sodium foods (fresh, whole foods)"
Hypertension,Fruits and vegetables
Hypertension,Beetroot
Hypertension,Lean proteins
Migraine,"Vitamin B2 (Eggs, dairy products)"
Migraine,"Omega-3 Fatty Acids (Fatty fish, flax seeds, and walnuts)"
Migraine,Ginger
Migraine,Hydration
Migraine,"Magnesium-rich foods (Almonds, spinach, and avocados)"
Cervical spondylosis,"Anti-inflammatory Foods (Turmeric, ginger)"
Cervical spondylosis,"Calcium-Rich Foods (Dairy products, leafy greens)"
Cervical spondylosis,Vitamin D
Cervical spondylosis,"Magnesium (Spinach, bananas, and nuts)"
Cervical spondylosis,Whole Grains
Paralysis (brain hemorrhage),"Protein-Rich Foods (Lean meats, fish and eggs)"
Paralysis (brain hemorrhage),"Vitamin B12 (Chicken, eggs, and dairy products)"
Paralysis (brain hemorrhage),"Antioxidants (Berries, spinach, and nuts)"
Paralysis (brain hemorrhage),Omega-3 Fatty Acids (Fatty fish like salmon)
Paralysis (brain hemorrhage),Hydrating Foods (Cucumbers and watermelon)
Jaundice,"High-Quality Proteins (Chicken, turkey, and fish)"
Jaundice,"Vitamin A-Rich Foods (Carrots, sweet potatoes, and spinach)"
Jaundice,"Fiber-Rich Foods (Whole grains, fruits, and vegetables)"
Jaundice,Healthy Fats (Olive oil and avocados)
Jaundice,"Hydrating Foods (Watermelon, cucumbers, and coconut water)"
Malaria,"Iron-Rich Foods (Spinach, lentils, and red meat)"
Malaria,"Vitamin C (Citrus fruits, strawberries, and bell peppers)"
Malaria,"High-Calorie Foods (Nuts, seeds, and avocados)"
Malaria,Anti-inflammatory Foods (Turmeric and ginger)
Malaria,Hydrating Foods (Coconut water and herbal teas)
Chicken pox,"Vitamin C (Citrus fruits, bell peppers, and broccoli)"
Chicken pox,"Protein-Rich Foods (Chicken, turkey, tofu, and beans)"
Chicken pox,"Fluids (Water, herbal teas, and coconut water)"
Chicken pox,Whole Grains (Brown rice and oats)
Chicken pox,Honey
Dengue,"High-Energy Foods (Bananas, oats, and sweet potatoes)"
Dengue,Vitamin C (Citrus fruits and strawberries)
Dengue,"Iron-Rich Foods (Red meat, spinach, and lentils)"
Dengue,"Hydrating Foods (Coconut water, watermelon, and cucumber)"
Dengue,Protein-rich foods
Typhoid,"High-Calorie Foods (Smoothies with fruits, nuts, and seeds)"
Typhoid,"Protein-Rich Foods (Chicken, fish and eggs)"
Typhoid,"Anti-inflammatory Foods (Turmeric, ginger, and garlic)"
Typhoid,"Easily Digestible Foods (Bananas, plain rice, and toast)"
